Country,midinote,1855,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,
Africa,8,50,24,,111,213,357,,,,,,13029,23578,,44000,92435,115181,
Asia,2,75,89,,48,208,925,,,,5107,31977,,42459,122410,,229210,368196,
Japan,2,,,5,21,164,311,,,,,,,7843,9549,12433,19415,21377,
Australia,1,,64,,253,474,484,,,987,,,1374,,,,3860,5316,
Germany,12,116691,135885,191328,218821,305523,322343,278114,194154,237588,224749,185467,152502,98336,60749,38886,27708,20370,
Austria,12,376,535,3078,5371,28686,71427,190237,126739,127169,145106,124256,84389,28024,26263,11877,6700,4631,
Netherlands,12,971,1059,2011,2848,2011,2608,4191,4750,5335,5608,5571,,3693,,,2455,2329,
Belgium,12,223,252,,723,819,1221,,3467,,3888,,,3681,,, ,2699,
France,12,7326,6940,10306,11846,12937,14755,18265,23020,23285,19696,20461,19016,15514,,,12386,14935,
Switzerland,12,1155,1081,2835,5514,6355,8371,10450,9233,9895,8551,7151,,3930,,, ,2488,
Europe,12,,,,211,4325,223,,,,5757,41009,,14173,,,124443,,
Canada,5,4586,5694,7307,11367,14295,21926,26072,25278,39622,40345,,29034,20545,15874,13919,17318,21525,
China,3,,,,870,2648,6080,,,,,,19789,37348,60824,162682,207914,323362,
Czech Republic,13,,,,8223,8233,15005,,26437,35318,26884,31030,27767,21523,26884,30130,8628,5978,
Lithuania,13,,,,,,,,,,7475,15005,15089,13599,11367,6584, ,1378,
Poland,13,1276,1357,2602,9521,8646,32873,,145679,238339,194163,179878,168960,119604,78135,65184,65999,55408,
Romania,13,,,,,52187,10499,33584,38139,46750,40655,29409,24784,21165,,17566,19280,14483,
Yugoslavia,13,,,,,,,,5271,6450,6475,6736,12399,16491,21419,20364,19353,21048,
Hungary,,,,591,4182,12885,31516,76625,64393,59883,62588,51968,45602,31717,21457,13241,11144,8081,
England,14,35324,34697,45275,49988,62400,68836,78135,71404,78003,63115,53614,40796,29748,22364,17996,28996,13660,
Scotland,14,11085,9328,,13365,18659,19836,23115,21545,38535,33292,26405,19615,11683,6408,, ,2044,
Ireland,14,232488,218477,280219,277409,275156,275102,252662,203450,192810,150325,141723,114163,68778,41354,29853,22604,14044,
Northern Ireland,14,,,,,,,,,27821,21501,3085,,6604,1409,, ,,
Wales,14,1275,907,,1354,1475,1686,1778,1510,1903,1296,,,763,444,, ,,
Finland,15,,,,,,3733,7409,10240,13224,11245,8891,,3452,,, ,,
Sweden,15,745,788,2663,6042,16394,28320,34950,33703,37267,28881,20424,11705,6140,2962,,2421,2293,
Denmark,15,439,532,,1920,3354,5621,7989,9092,11096,8905,6707,,2760,,, ,828,
Norway,15,351,355,673,1767,6448,11387,22280,24500,38130,30750,25552,18532,10229,,, ,927,
Greece,10,,,49,78,301,1309,8038,21455,27182,28593,29815,28882,35000,42080,31241,29805,23973,
Italy,10,1039,1067,3019,13411,49414,145433,140765,390832,440250,409489,344115,281033,212160,156413,96339,72491,55537,
India,17,,,47,145,185,250,,,,,,,5032,21880,42367,68263,76461,
Mexico,4,81,111,86,168,218,282,,,,2973,3234,,3514,,,122550,176147,
Central America,4,,,,29,183,920,,,,,,,150093,,,245142,119749,
Portugal,9,224,153,146,191,169,277,,,,2676,,,3040,4678,3581,2718,1984,
Spain,9,501,527,682,1048,1413,1491,3331,10980,13992,13583,,10528,10694,,8834,7836,7980,
Russia,16,163,369,1224,4760,,155201,484189,479979,442431,395696,314603,204821,117363,88415,79701,81408,146321,
South America,6,221,238,307,570,721,995,,5742,14268,12429,38295,,71429,153714,,410048,422792,
Syria,11,,,,,,,,4485,8686,8598,,,2185,,,5191,3301,
Turkey,11,41,34,54,98,303,1401,9855,"15,890",15115,17663,,11803,10069,,6561,9026,9804,
West Indies,7,1465,719,943,1407,3439,3856,5990,5907,13032,13344,,36152,36834,,,830119,809998,
Cuba,7,,,,2073,3459,2011,5990,2815,,,,28567,63043,46880,42286,26030,19235,
